node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Premium Payment System,255.375,252.82,257.93,2014-01-28 08:00:00,2014-10-10 17:00:00,,132570
67,1.1,supporting tasks,44.3333333333333,43.89,44.78,2014-01-28 08:00:00,2014-03-13 16:00:00,,44145
1,1.1.1,project management,44.3333333333333,35.47,53.2,2014-01-28 08:00:00,2014-03-13 16:00:00,Employee A,23670
2,1.1.2,validation and support,15.0833333333333,12.07,18.1,2014-02-10 08:00:00,2014-02-25 10:00:00,Employee C,6750
3,1.1.3,validation and support,9.16666666666667,7.33,11.0,2014-02-10 08:00:00,2014-02-19 12:00:00,Employee G,4500
4,1.1.4,validation and support,0.291666666666667,0.23,0.35,2014-02-10 08:00:00,2014-02-10 15:00:00,Employee H,450
5,1.1.5,validation and support,2.33333333333333,1.87,2.8,2014-02-10 08:00:00,2014-02-12 16:00:00,Employee I,1725
6,1.1.6,validation and support,7.125,5.7,8.55,2014-02-10 08:00:00,2014-02-17 11:00:00,Employee J,3225
7,1.1.7,validation and support,8.08333333333333,6.47,9.7,2014-02-10 08:00:00,2014-02-18 10:00:00,Employee K,3750
8,1.1.8,validation and support,0.0416666666666667,0.03,0.05,2014-02-10 08:00:00,2014-02-10 09:00:00,Employee B,75
68,1.2,analysis,73.375,72.64,74.11,2014-02-11 08:00:00,2014-04-25 17:00:00,,22200
9,1.2.1,analysis - aanpassing aanbieding,13.2916666666667,10.63,15.95,2014-02-11 08:00:00,2014-02-24 15:00:00,Employee G,5850
10,1.2.2,analysis - boeking teruggave,4.04166666666667,3.23,4.85,2014-02-17 08:00:00,2014-02-21 09:00:00,Employee C,2475
11,1.2.3,analysis - convertie teruggaves,8.25,6.6,9.9,2014-02-17 08:00:00,2014-02-25 14:00:00,Employee K,3975
14,1.2.4,analysis - lay-out brief,10.375,8.3,12.45,2014-02-17 08:00:00,2014-02-27 17:00:00,Employee K,5400
15,1.2.5,analysis - methode fractioneren,1.29166666666667,1.03,1.55,2014-02-11 08:00:00,2014-02-12 15:00:00,Employee G,1050
16,1.2.6,analysis - proces opzetten,0.375,0.3,0.45,2014-03-10 08:00:00,2014-03-10 17:00:00,Employee K,600
17,1.2.7,analysis - stopzetten afbetalingsplan,4.29166666666667,3.43,5.15,2014-03-24 08:00:00,2014-03-28 15:00:00,Employee K,2850
18,1.2.8,analysis validated,0.0,0.0,0.0,2014-04-25 17:00:00,2014-04-25 17:00:00,,0
69,1.3,design,108.375,107.29,109.46,2014-02-10 08:00:00,2014-05-29 17:00:00,,29175
19,1.3.1,design - aanleveren input,9.16666666666667,7.33,11.0,2014-03-17 08:00:00,2014-03-26 12:00:00,Employee I,4500
20,1.3.2,design - aanpassingen aanbieding,8.25,6.6,9.9,2014-03-17 08:00:00,2014-03-25 14:00:00,Employee E,3975
21,1.3.3,design - boeking teruggave,4.29166666666667,3.43,5.15,2014-03-10 08:00:00,2014-03-14 15:00:00,Employee E,2850
22,1.3.4,design - convertie teruggaves,3.29166666666667,2.63,3.95,2014-05-05 08:00:00,2014-05-08 15:00:00,Employee E,2250
23,1.3.5,design - creatie artikels,0.375,0.3,0.45,2014-03-10 08:00:00,2014-03-10 17:00:00,Employee L,600
24,1.3.6,design - impact op andere progs,7.16666666666667,5.73,8.6,2014-02-10 08:00:00,2014-02-17 12:00:00,Employee L,3300
25,1.3.7,design - lay-out brief,4.29166666666667,3.43,5.15,2014-03-17 08:00:00,2014-03-21 15:00:00,Employee M,2850
26,1.3.8,design - mailoptie,1.33333333333333,1.07,1.6,2014-05-12 08:00:00,2014-05-13 16:00:00,Employee I,1125
27,1.3.9,design - methode fractioneren,3.16666666666667,2.53,3.8,2014-02-11 08:00:00,2014-02-14 12:00:00,Employee E,2100
28,1.3.10,design - opzet OMS,1.33333333333333,1.07,1.6,2014-04-07 08:00:00,2014-04-08 16:00:00,Employee M,1125
29,1.3.11,design - proces opzetten,1.08333333333333,0.87,1.3,2014-03-06 08:00:00,2014-03-07 10:00:00,Employee I,750
30,1.3.12,design - stopzetting afbetalingsplan,8.08333333333333,6.47,9.7,2014-05-21 08:00:00,2014-05-29 10:00:00,Employee E,3750
31,1.3.13,design validated,0.0,0.0,0.0,2014-05-29 17:00:00,2014-05-29 17:00:00,,0
70,1.4,development,227.375,225.1,229.65,2014-02-11 08:00:00,2014-09-26 17:00:00,,25800
33,1.4.1,development - boeking teruggave,8.25,6.6,9.9,2014-04-07 08:00:00,2014-04-15 14:00:00,Employee L,3975
35,1.4.2,development - impact op andere progs,20.125,16.1,24.15,2014-02-11 08:00:00,2014-03-03 11:00:00,Employee N,8625
36,1.4.3,development - landscape document voorzien,6.33333333333333,5.07,7.6,2014-02-11 08:00:00,2014-02-17 16:00:00,Employee O,2925
37,1.4.4,development - lay-out brief,4.29166666666667,3.43,5.15,2014-04-28 08:00:00,2014-05-02 15:00:00,Employee M,2850
38,1.4.5,development - methode fractioneren,8.25,6.6,9.9,2014-03-10 08:00:00,2014-03-18 14:00:00,Employee L,3975
40,1.4.6,development - proces opzetten,2.33333333333333,1.87,2.8,2014-03-31 08:00:00,2014-04-02 16:00:00,Employee Q,1725
42,1.4.7,development - impact op andere progs,2.33333333333333,1.87,2.8,2014-07-07 08:00:00,2014-07-09 16:00:00,Employee M,1725
46,1.4.8,development completed,0.0,0.0,0.0,2014-09-26 17:00:00,2014-09-26 17:00:00,,0
71,1.5,test ict,88.375,87.49,89.26,2014-06-02 08:00:00,2014-08-29 17:00:00,,11250
49,1.5.1,test ict - preparation,24.2916666666667,19.43,29.15,2014-06-02 08:00:00,2014-06-26 15:00:00,Employee E,11250
50,1.5.2,ict test completed,0.0,0.0,0.0,2014-08-29 17:00:00,2014-08-29 17:00:00,,0
72,1.6,implementation,101.0,99.99,102.01,2014-07-01 17:00:00,2014-10-10 17:00:00,,0
51,1.6.1,uat,0.0,0.0,0.0,2014-07-01 17:00:00,2014-07-01 17:00:00,,0
52,1.6.2,code freeze,0.0,0.0,0.0,2014-09-26 17:00:00,2014-09-26 17:00:00,,0
55,1.6.3,go live,0.0,0.0,0.0,2014-10-10 17:00:00,2014-10-10 17:00:00,,0
