node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Generic Document Output System,375.375,371.62,379.13,2013-04-29 08:00:00,2014-05-09 17:00:00,,64620
28,1.1,supporting tasks,207.083333333333,205.01,209.15,2013-08-19 08:00:00,2014-03-14 10:00:00,,9660
1,1.1.1,project management,7.25,5.8,8.7,2013-08-19 08:00:00,2013-08-26 14:00:00,Employee A,4050
38,1.1.2,validation and support,4.08333333333333,3.27,4.9,2014-03-10 08:00:00,2014-03-14 10:00:00,Employee B,2550
2,1.1.3,validation and support,4.08333333333333,3.27,4.9,2014-03-10 08:00:00,2014-03-14 10:00:00,Employee A,3060
29,1.2,analysis,273.375,270.64,276.11,2013-04-29 08:00:00,2014-01-27 17:00:00,,6060
3,1.2.1,analysis - solution concept,0.25,0.2,0.3,2013-04-29 08:00:00,2013-04-29 14:00:00,Employee A,450
4,1.2.2,analysis - solution concept,2.375,1.9,2.85,2013-04-29 08:00:00,2013-05-01 17:00:00,Employee B,1800
5,1.2.3,analysis - solution concept,2.375,1.9,2.85,2013-04-29 08:00:00,2013-05-01 17:00:00,Employee C,1800
6,1.2.4,analysis - solution concept,0.25,0.2,0.3,2013-04-29 08:00:00,2013-04-29 14:00:00,Employee D,375
7,1.2.5,analysis - solution concept,2.04166666666667,1.63,2.45,2013-04-29 08:00:00,2013-05-01 09:00:00,Employee E,1275
8,1.2.6,analysis - business analysis,0.166666666666667,0.13,0.2,2013-12-30 08:00:00,2013-12-30 12:00:00,Employee A,360
9,1.2.7,analysis validated,0.0,0.0,0.0,2014-01-27 17:00:00,2014-01-27 17:00:00,,0
30,1.3,design,45.375,44.92,45.83,2014-01-21 08:00:00,2014-03-07 17:00:00,,9150
10,1.3.1,design - SAD/interface design,7.04166666666667,5.63,8.45,2014-01-21 08:00:00,2014-01-28 09:00:00,Employee H,3075
11,1.3.2,design - SAD/interface design,0.0833333333333333,0.07,0.1,2014-01-21 08:00:00,2014-01-21 10:00:00,Employee I,150
12,1.3.3,design - CDM/process design,13.125,10.5,15.75,2014-01-21 08:00:00,2014-02-03 11:00:00,Employee F,5625
13,1.3.4,design - CDM/process design,0.166666666666667,0.13,0.2,2014-01-21 08:00:00,2014-01-21 12:00:00,Employee G,300
14,1.3.5,design validated,0.0,0.0,0.0,2014-03-07 17:00:00,2014-03-07 17:00:00,,0
31,1.4,development,98.375,97.39,99.36,2014-01-06 08:00:00,2014-04-14 17:00:00,,36150
15,1.4.1,development - coding DMS,2.33333333333333,1.87,2.8,2014-03-10 08:00:00,2014-03-12 16:00:00,Employee C,1725
16,1.4.2,development - coding ESB,13.125,10.5,15.75,2014-01-28 08:00:00,2014-02-10 11:00:00,Employee J,5625
17,1.4.3,development - coding ESB,41.375,33.1,49.65,2014-01-28 08:00:00,2014-03-10 17:00:00,Employee E,18000
18,1.4.4,development - coding OMS,6.375,5.1,7.65,2014-02-18 08:00:00,2014-02-24 17:00:00,Employee K,3000
36,1.4.5,development - bugfixing,10.2916666666667,8.23,12.35,2014-01-06 08:00:00,2014-01-16 15:00:00,Employee C,5250
37,1.4.6,development - bugfixing,3.04166666666667,2.43,3.65,2014-01-06 08:00:00,2014-01-09 09:00:00,Employee E,1875
19,1.4.7,development - bugfixing and support,1.04166666666667,0.83,1.25,2014-01-06 08:00:00,2014-01-07 09:00:00,Employee K,675
20,1.4.8,development completed,0.0,0.0,0.0,2014-04-14 17:00:00,2014-04-14 17:00:00,,0
32,1.5,test ict,53.375,52.84,53.91,2014-02-20 08:00:00,2014-04-14 17:00:00,,3600
21,1.5.1,test ict - test coordination,1.08333333333333,0.87,1.3,2014-02-20 08:00:00,2014-02-21 10:00:00,Employee L,750
22,1.5.2,test ict - test execution,4.29166666666667,3.43,5.15,2014-03-24 08:00:00,2014-03-28 15:00:00,Employee L,2850
23,1.5.3,ict test completed,0.0,0.0,0.0,2014-04-14 17:00:00,2014-04-14 17:00:00,,0
33,1.6,UAT,42.0,41.58,42.42,2014-03-14 17:00:00,2014-04-25 17:00:00,,0
24,1.6.1,full handover,0.0,0.0,0.0,2014-03-14 17:00:00,2014-03-14 17:00:00,,0
25,1.6.2,release handover,0.0,0.0,0.0,2014-03-21 17:00:00,2014-03-21 17:00:00,,0
26,1.6.3,code freeze,0.0,0.0,0.0,2014-04-25 17:00:00,2014-04-25 17:00:00,,0
34,1.7,implementation,0.0,0.0,0.0,2014-05-09 17:00:00,2014-05-09 17:00:00,,0
27,1.7.1,go live,0.0,0.0,0.0,2014-05-09 17:00:00,2014-05-09 17:00:00,,0
