node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Insurance Bundling System,292.166666666667,289.25,295.09,2013-04-19 08:00:00,2014-02-05 12:00:00,,281430
31,1.1,supporting tasks,48.375,47.89,48.86,2013-07-16 08:00:00,2013-09-02 17:00:00,,26190
1,1.1.1,project management,48.375,38.7,58.05,2013-07-16 08:00:00,2013-09-02 17:00:00,Employee A,25200
2,1.1.2,project management,1.125,0.9,1.35,2013-07-16 08:00:00,2013-07-17 11:00:00,Employee B,990
30,1.2,analysis,161.375,159.76,162.99,2013-04-19 08:00:00,2013-09-27 17:00:00,,38340
3,1.2.1,analysis - business analysis,53.125,42.5,63.75,2013-07-01 08:00:00,2013-08-23 11:00:00,Employee D,23625
4,1.2.2,analysis - datamodel,4.125,3.3,4.95,2013-09-09 08:00:00,2013-09-13 11:00:00,Employee D,2625
5,1.2.3,analysis - I/O services,2.16666666666667,1.73,2.6,2013-09-23 08:00:00,2013-09-25 12:00:00,Employee D,1500
6,1.2.4,analysis - solution concept,3.08333333333333,2.47,3.7,2013-04-19 08:00:00,2013-04-22 10:00:00,Employee C,750
7,1.2.5,analysis - solution concept,11.0833333333333,8.87,13.3,2013-04-19 08:00:00,2013-04-30 10:00:00,Employee E,4350
8,1.2.6,analysis - solution concept,7.16666666666667,5.73,8.6,2013-04-19 08:00:00,2013-04-26 12:00:00,Employee F,3300
9,1.2.7,analysis - solution concept,0.291666666666667,0.23,0.35,2013-04-19 08:00:00,2013-04-19 15:00:00,Employee B,540
10,1.2.8,analysis - solution concept,0.375,0.3,0.45,2013-04-19 08:00:00,2013-04-19 17:00:00,Employee G,600
11,1.2.9,analysis - solution concept,0.333333333333333,0.27,0.4,2013-04-19 08:00:00,2013-04-19 16:00:00,Employee H,525
12,1.2.10,analysis - solution concept,0.333333333333333,0.27,0.4,2013-04-19 08:00:00,2013-04-19 16:00:00,Employee I,525
