node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Receipt Numbering System,253.333333333333,250.8,255.87,2013-09-02 08:00:00,2014-05-13 16:00:00,,43800
25,1.1,supporting tasks,88.375,87.49,89.26,2013-09-02 08:00:00,2013-11-29 17:00:00,,11775
1,1.1.1,project management,8.33333333333333,6.67,10.0,2013-09-02 08:00:00,2013-09-10 16:00:00,Employee I,4950
2,1.1.2,validation and support,3.33333333333333,2.67,4.0,2013-11-22 08:00:00,2013-11-25 16:00:00,Employee A,1125
3,1.1.3,validation and support,0.375,0.3,0.45,2013-11-22 08:00:00,2013-11-22 17:00:00,Employee K,600
4,1.1.4,validation and support,7.375,5.9,8.85,2013-11-22 08:00:00,2013-11-29 17:00:00,Employee D,3600
5,1.1.5,validation and support,4.16666666666667,3.33,5.0,2013-11-22 08:00:00,2013-11-26 12:00:00,Employee L,1500
26,1.2,analysis,116.375,115.21,117.54,2013-09-06 08:00:00,2013-12-31 17:00:00,,750
6,1.2.1,analysis - conceptual design,3.04166666666667,2.43,3.65,2013-09-06 08:00:00,2013-09-09 09:00:00,Employee A,675
7,1.2.2,analysis - conceptual design,0.0416666666666667,0.03,0.05,2013-09-06 08:00:00,2013-09-06 09:00:00,Employee B,75
8,1.2.3,analysis validated,0.0,0.0,0.0,2013-12-31 17:00:00,2013-12-31 17:00:00,,0
27,1.3,design,78.375,77.59,79.16,2013-12-02 08:00:00,2014-02-18 17:00:00,,9825
9,1.3.1,design - MF,0.0833333333333333,0.07,0.1,2013-12-02 08:00:00,2013-12-02 10:00:00,Employee D,150
10,1.3.2,design - MF,1.29166666666667,1.03,1.55,2013-12-02 08:00:00,2013-12-03 15:00:00,Employee E,1050
11,1.3.3,design - MF,18.0833333333333,14.47,21.7,2013-12-02 08:00:00,2013-12-20 10:00:00,Employee F,8550
12,1.3.4,design - DWH,0.0416666666666667,0.03,0.05,2013-12-09 08:00:00,2013-12-09 09:00:00,Employee C,75
13,1.3.5,design validated,0.0,0.0,0.0,2014-02-18 17:00:00,2014-02-18 17:00:00,,0
28,1.4,development,101.375,100.36,102.39,2013-11-19 08:00:00,2014-02-28 17:00:00,,16875
14,1.4.1,development - coding MF,24.375,19.5,29.25,2013-11-19 08:00:00,2013-12-13 17:00:00,Employee G,11400
15,1.4.2,development - coding MF,9.25,7.4,11.1,2013-11-19 08:00:00,2013-11-28 14:00:00,Employee H,4575
16,1.4.3,development - coding MF,0.25,0.2,0.3,2013-11-19 08:00:00,2013-11-19 14:00:00,Employee E,375
17,1.4.4,development - coding MF,0.333333333333333,0.27,0.4,2013-11-19 08:00:00,2013-11-19 16:00:00,Employee F,525
20,1.4.5,development completed,0.0,0.0,0.0,2014-02-28 17:00:00,2014-02-28 17:00:00,,0
33,1.5,development bugfixing,2.125,2.1,2.15,2014-03-24 08:00:00,2014-03-26 11:00:00,,2250
32,1.5.1,development - bugfixing,2.125,1.7,2.55,2014-03-24 08:00:00,2014-03-26 11:00:00,Employee G,1425
31,1.5.2,development - bugfixing,1.125,0.9,1.35,2014-03-24 08:00:00,2014-03-25 11:00:00,Employee D,825
29,1.6,implementation,0.0,0.0,0.0,2014-05-09 17:00:00,2014-05-09 17:00:00,,0
24,1.6.1,go live,0.0,0.0,0.0,2014-05-09 17:00:00,2014-05-09 17:00:00,,0
30,1.7,post implementation,1.33333333333333,1.32,1.35,2014-05-12 08:00:00,2014-05-13 16:00:00,,2325
21,1.7.1,post implementation - post go live support,0.375,0.3,0.45,2014-05-12 08:00:00,2014-05-12 17:00:00,Employee A,600
22,1.7.2,post implementation - post go live support,0.375,0.3,0.45,2014-05-12 08:00:00,2014-05-12 17:00:00,Employee G,600
23,1.7.3,post implementation - post go live support,1.33333333333333,1.07,1.6,2014-05-12 08:00:00,2014-05-13 16:00:00,Employee D,1125
