node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Risk Profile Questionnaire,211.083333333333,208.97,213.19,2013-10-14 08:00:00,2014-05-13 10:00:00,,29880
32,1.1,supporting tasks,64.375,63.73,65.02,2013-10-14 08:00:00,2013-12-17 17:00:00,,8355
1,1.1.1,project management,8.16666666666667,6.53,9.8,2013-10-14 08:00:00,2013-10-22 12:00:00,Employee A,4680
2,1.1.2,project management,1.375,1.1,1.65,2013-10-14 08:00:00,2013-10-15 17:00:00,Employee B,1200
3,1.1.3,validation and support,0.0416666666666667,0.03,0.05,2013-12-12 08:00:00,2013-12-12 09:00:00,Employee C,75
4,1.1.4,validation and support,5.375,4.3,6.45,2013-12-12 08:00:00,2013-12-17 17:00:00,Employee D,2400
33,1.2,analysis,17.375,17.2,17.55,2014-02-07 08:00:00,2014-02-24 17:00:00,,525
5,1.2.1,analysis - conceptual design,0.333333333333333,0.27,0.4,2014-02-07 08:00:00,2014-02-07 16:00:00,Employee C,525
6,1.2.2,analysis validated,0.0,0.0,0.0,2014-02-24 17:00:00,2014-02-24 17:00:00,,0
34,1.3,design,6.16666666666667,6.11,6.23,2014-01-31 08:00:00,2014-02-06 12:00:00,,2700
7,1.3.1,design - ISP design,6.16666666666667,4.93,7.4,2014-01-31 08:00:00,2014-02-06 12:00:00,Employee D,2700
8,1.3.2,design validated,0.0,0.0,0.0,2014-02-06 12:00:00,2014-02-06 12:00:00,,0
35,1.4,development,15.375,15.22,15.53,2014-03-10 08:00:00,2014-03-25 17:00:00,,3375
9,1.4.1,development - build ISP,0.375,0.3,0.45,2014-03-17 08:00:00,2014-03-17 17:00:00,Employee E,600
10,1.4.2,development - build ISP,1.33333333333333,1.07,1.6,2014-03-17 08:00:00,2014-03-18 16:00:00,Employee F,1125
11,1.4.3,development - technical assembly test,2.08333333333333,1.67,2.5,2014-03-10 08:00:00,2014-03-12 10:00:00,Employee D,1350
12,1.4.4,development - bugfixing,0.166666666666667,0.13,0.2,2014-03-24 08:00:00,2014-03-24 12:00:00,Employee F,300
13,1.4.5,development completed,0.0,0.0,0.0,2014-03-25 17:00:00,2014-03-25 17:00:00,,0
36,1.5,test ict,32.375,32.05,32.7,2014-02-24 08:00:00,2014-03-28 17:00:00,,6225
14,1.5.1,test ict - regression testing,1.375,1.1,1.65,2014-03-24 08:00:00,2014-03-25 17:00:00,Employee G,1200
15,1.5.2,test ict - test coordination,1.08333333333333,0.87,1.3,2014-02-27 08:00:00,2014-02-28 10:00:00,Employee H,750
16,1.5.3,test ict - test execution,0.375,0.3,0.45,2014-03-17 08:00:00,2014-03-17 17:00:00,Employee G,600
17,1.5.4,test ict - test execution,0.375,0.3,0.45,2014-03-17 08:00:00,2014-03-17 17:00:00,Employee I,600
18,1.5.5,test ict - test preparation,1.25,1.0,1.5,2014-02-24 08:00:00,2014-02-25 14:00:00,Employee G,975
19,1.5.6,test ict - test preparation,3.16666666666667,2.53,3.8,2014-02-24 08:00:00,2014-02-27 12:00:00,Employee I,2100
20,1.5.7,ict test completed,0.0,0.0,0.0,2014-03-28 17:00:00,2014-03-28 17:00:00,,0
37,1.6,uat,31.0,30.69,31.31,2014-03-21 17:00:00,2014-04-21 17:00:00,,6450
21,1.6.1,uat - test execution support,1.08333333333333,0.87,1.3,2014-03-31 08:00:00,2014-04-01 10:00:00,Employee H,750
22,1.6.2,uat - test execution support,9.16666666666667,7.33,11.0,2014-03-31 08:00:00,2014-04-09 12:00:00,Employee G,4500
23,1.6.3,uat - test execution support,1.375,1.1,1.65,2014-03-31 08:00:00,2014-04-01 17:00:00,Employee I,1200
24,1.6.4,full handover,0.0,0.0,0.0,2014-03-24 17:00:00,2014-03-24 17:00:00,,0
25,1.6.5,release handover,0.0,0.0,0.0,2014-03-21 17:00:00,2014-03-21 17:00:00,,0
26,1.6.6,uat completed,0.0,0.0,0.0,2014-04-21 17:00:00,2014-04-21 17:00:00,,0
38,1.7,implementation,11.0,10.89,11.11,2014-04-28 17:00:00,2014-05-09 17:00:00,,0
27,1.7.1,code freeze,0.0,0.0,0.0,2014-04-28 17:00:00,2014-04-28 17:00:00,,0
28,1.7.2,go live,0.0,0.0,0.0,2014-05-09 17:00:00,2014-05-09 17:00:00,,0
39,1.8,post implementation,1.08333333333333,1.07,1.09,2014-05-12 08:00:00,2014-05-13 10:00:00,,2250
29,1.8.1,post implementation - post go live support,1.08333333333333,0.87,1.3,2014-05-12 08:00:00,2014-05-13 10:00:00,Employee H,750
30,1.8.2,post implementation - post go live support,1.08333333333333,0.87,1.3,2014-05-12 08:00:00,2014-05-13 10:00:00,Employee G,750
31,1.8.3,post implementation - post go live support,1.08333333333333,0.87,1.3,2014-05-12 08:00:00,2014-05-13 10:00:00,Employee I,750
