node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Investment Product (2),169.166666666667,167.48,170.86,2013-11-25 08:00:00,2014-05-13 12:00:00,,46920
48,1.1,supporting tasks,22.0833333333333,21.86,22.3,2014-02-24 08:00:00,2014-03-18 10:00:00,,7095
1,1.1.1,project management,7.375,5.9,8.85,2014-02-24 08:00:00,2014-03-03 17:00:00,Employee A,4320
2,1.1.2,validation and support,0.375,0.3,0.45,2014-03-17 08:00:00,2014-03-17 17:00:00,Employee B,600
3,1.1.3,validation and support,1.08333333333333,0.87,1.3,2014-03-17 08:00:00,2014-03-18 10:00:00,Employee C,750
4,1.1.4,validation and support,0.166666666666667,0.13,0.2,2014-03-17 08:00:00,2014-03-17 12:00:00,Employee E,300
5,1.1.5,validation and support,1.04166666666667,0.83,1.25,2014-03-17 08:00:00,2014-03-18 09:00:00,Employee F,675
32,1.1.6,validation and support,0.291666666666667,0.23,0.35,2014-03-17 08:00:00,2014-03-17 15:00:00,Employee D,450
49,1.2,design,11.375,11.26,11.49,2014-03-10 08:00:00,2014-03-21 17:00:00,,1125
6,1.2.1,design - OMS,1.33333333333333,1.07,1.6,2014-03-10 08:00:00,2014-03-11 16:00:00,Employee G,1125
7,1.2.2,design validated,0.0,0.0,0.0,2014-03-21 17:00:00,2014-03-21 17:00:00,,0
50,1.3,begunstigingsclausules bank,116.375,115.21,117.54,2013-11-25 08:00:00,2014-03-21 17:00:00,,8100
8,1.3.1,analyse,0.375,0.3,0.45,2013-11-25 08:00:00,2013-11-25 17:00:00,Employee E,600
9,1.3.2,design front,6.33333333333333,5.07,7.6,2014-02-18 08:00:00,2014-02-24 16:00:00,Employee F,2925
10,1.3.3,design mapping,3.29166666666667,2.63,3.95,2014-02-18 08:00:00,2014-02-21 15:00:00,Employee C,2250
25,1.3.4,design extra velden,0.25,0.2,0.3,2014-03-03 08:00:00,2014-03-03 14:00:00,Employee C,375
26,1.3.5,uitbreiding extra velden,0.166666666666667,0.13,0.2,2014-03-03 08:00:00,2014-03-03 12:00:00,Employee H,300
27,1.3.6,uitbreiding service extra velden,0.0833333333333333,0.07,0.1,2014-03-17 08:00:00,2014-03-17 10:00:00,Employee I,150
34,1.3.7,uitbreiding extra velden,2.16666666666667,1.73,2.6,2014-03-03 08:00:00,2014-03-05 12:00:00,Employee K,1500
28,1.3.8,uitbreiding rapportering completed,0.0,0.0,0.0,2014-03-21 17:00:00,2014-03-21 17:00:00,,0
51,1.4,elektronische handtekening,65.375,64.72,66.03,2014-02-24 08:00:00,2014-04-30 17:00:00,,10200
