node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Recy-Call,208.08333333329938,206.0,210.16,2018-02-01 12:00:00,2018-08-28 14:00:00,,78350
49,1.1,Market research,11.208333333299379,8.97,13.45,2018-02-01 12:00:00,2018-02-12 17:00:00,Laura & Domien,0
26,1.2,Proof of knowledge,0.0,0.0,0.0,2018-02-12 17:00:00,2018-02-12 17:00:00,,0
27,1.3,Opening a banking account,1.125,0.9,1.35,2018-02-13 12:00:00,2018-02-14 15:00:00,Laura & Domien,0
28,1.4,Raise €6000,0.0,0.0,0.0,2018-02-14 15:00:00,2018-02-14 15:00:00,,0
29,1.5,Writing the statutes,6.958333333299379,5.57,8.35,2018-02-14 15:00:00,2018-02-21 14:00:00,Laura & Domien[0.50 #1],0
4,1.6,Document of bank deposit,2.0,1.6,2.4,2018-02-14 15:00:00,2018-02-16 15:00:00,Laura & Domien[0.50 #1],0
5,1.7,Financial and business plan,14.083333333401242,11.27,16.9,2018-02-21 14:00:00,2018-03-07 16:00:00,Laura & Domien,0
6,1.8,Writing the deed,6.958333333299379,5.57,8.35,2018-03-07 16:00:00,2018-03-14 15:00:00,Laura & Domien,0
7,1.9,Making the deed public,16.04166666670062,12.83,19.25,2018-03-14 15:00:00,2018-03-30 16:00:00,Laura & Domien,0
8,1.1,E-depot,5.916666666598758,4.73,7.1,2018-03-30 16:00:00,2018-04-05 14:00:00,Laura & Domien,350
9,1.11,Registering the company,5.0,4.0,6.0,2018-04-05 14:00:00,2018-04-10 14:00:00,Laura & Domien,6000
10,1.12,Enterprise number,1.9583333334012423,1.57,2.35,2018-04-10 14:00:00,2018-04-12 13:00:00,Laura & Domien,0
11,1.13,Contacting the schools,5.0,4.0,6.0,2018-04-12 13:00:00,2018-04-17 13:00:00,Laura & Domien,0
12,1.14,Preparing the pitch,6.166666666598758,4.93,7.4,2018-04-17 13:00:00,2018-04-23 17:00:00,Laura & Domien,0
13,1.15,First school meeting,3.125,2.5,3.75,2018-05-08 14:00:00,2018-05-11 17:00:00,Laura & Domien,0
14,1.16,Delivering boxes,1.125,0.9,1.35,2018-05-29 13:00:00,2018-05-30 16:00:00,Laura & Domien,0
15,1.17,Intermediate feedback session,3.125,2.5,3.75,2018-06-01 14:00:00,2018-06-04 17:00:00,Laura & Domien[0.50 #1],0
16,1.18,Picking up boxes,1.9166666667006211,1.53,2.3,2018-06-06 15:00:00,2018-06-08 13:00:00,Laura & Domien[0.50 #1],0
17,1.19,Delivering the cell-phones,3.125,2.5,3.75,2018-06-08 13:00:00,2018-06-11 16:00:00,Laura & Domien[0.50 #1],0
18,1.2,Follow up and analyze,10.0,8.0,12.0,2018-07-24 14:00:00,2018-08-03 14:00:00,Laura & Domien,0
19,1.21,Contacting logistic companies,2.875,2.3,3.45,2018-04-24 16:00:00,2018-04-27 13:00:00,Laura & Domien[0.50 #1],0
20,1.22,Cost analysis,6.916666666598758,5.53,8.3,2018-04-24 16:00:00,2018-05-01 14:00:00,Laura & Domien[0.50 #1],0
21,1.23,Hire a driver,0.9583333334012423,0.77,1.15,2018-05-01 14:00:00,2018-05-02 13:00:00,Laura & Domien[0.50 #1],0
22,1.24,Buying a van,1.0833333334012423,0.87,1.3,2018-05-01 14:00:00,2018-05-02 16:00:00,Laura & Domien[0.50 #1],15000
23,1.25,Signing the contract,0.08333333329937886,0.07,0.1,2018-05-08 12:00:00,2018-05-08 14:00:00,Laura & Domien,0
24,1.26,Van administration,3.041666666700621,2.43,3.65,2018-05-04 14:00:00,2018-05-07 15:00:00,Laura & Domien[0.50 #1],0
25,1.27,Research on regulations,1.9166666665987577,1.53,2.3,2018-05-02 16:00:00,2018-05-04 14:00:00,Laura & Domien,0
30,1.28,OVAM registration,3.125,2.5,3.75,2018-05-04 14:00:00,2018-05-07 17:00:00,Laura & Domien[0.50 #1],0
31,1.29,Raising money from FFF's,5.083333333401242,4.07,6.1,2018-08-03 14:00:00,2018-08-08 16:00:00,Laura & Domien,0
32,1.3,Talking to business angels,1.9583333332993789,1.57,2.35,2018-06-11 16:00:00,2018-06-13 15:00:00,Laura & Domien,0
33,1.31,Taking a loan,8.041666666598758,6.43,9.65,2018-08-08 16:00:00,2018-08-16 17:00:00,Laura & Domien,0
34,1.32,First face to face dialogue,0.20833333329937886,0.17,0.25,2018-08-17 12:00:00,2018-08-17 17:00:00,Laura & Domien,2000
35,1.33,Second face to face dialogue,0.20833333329937886,0.17,0.25,2018-08-20 12:00:00,2018-08-20 17:00:00,Laura & Domien,2000
36,1.34,Customize proposals,1.125,0.9,1.35,2018-08-21 12:00:00,2018-08-22 15:00:00,Laura & Domien,0
37,1.35,Final face to face dialogue,0.9583333332993789,0.77,1.15,2018-08-22 15:00:00,2018-08-23 14:00:00,Laura & Domien,6000
38,1.36,Create social media accounts,0.16666666670062114,0.13,0.2,2018-08-27 12:00:00,2018-08-27 16:00:00,Laura & Domien[0.50 #1],0
39,1.37,Intellectual property protection,1.125,0.9,1.35,2018-08-23 14:00:00,2018-08-24 17:00:00,Laura & Domien[0.50 #1],0
40,1.38,Face to face dialogue with school teachers,5.125,4.1,6.15,2018-06-21 13:00:00,2018-06-26 16:00:00,Laura & Domien,0
41,1.39,Create didactic material,12.875,10.3,15.45,2018-06-26 16:00:00,2018-07-09 13:00:00,Laura & Domien,47000
42,1.4,Contacting schools,3.0,2.4,3.6,2018-07-09 13:00:00,2018-07-12 13:00:00,Laura & Domien[0.50 #1],0
43,1.41,Meetings preparation,6.125,4.9,7.35,2018-07-12 13:00:00,2018-07-18 16:00:00,Laura & Domien,0
44,1.42,Meetings,5.916666666598758,4.73,7.1,2018-07-18 16:00:00,2018-07-24 14:00:00,Laura & Domien,0
45,1.43,Deliver didactic material,5.0,4.0,6.0,2018-08-23 14:00:00,2018-08-28 14:00:00,Laura & Domien[0.50 #1],0
46,1.44,Contacting government,1.9166666667006211,1.53,2.3,2018-06-13 15:00:00,2018-06-15 13:00:00,Laura & Domien[0.50 #1],0
47,1.45,Government meeting,0.16666666659875773,0.13,0.2,2018-06-15 13:00:00,2018-06-15 17:00:00,Laura & Domien,0
48,1.46,Government follow-up,3.041666666700621,2.43,3.65,2018-06-18 12:00:00,2018-06-21 13:00:00,Laura & Domien,0
